Customer_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Type,Marital_Status,Dependents,Has_Credit_Card,Previous_Default,Loan_Default
221958,32,91831,588,42548,36,Self-Employed,Married,4,No,No,0
771155,21,139503,571,41945,60,Unemployed,Divorced,0,No,No,1
231932,46,135760,365,11476,24,Self-Employed,Married,2,Yes,Yes,1
465838,34,121529,782,29565,36,Unemployed,Divorced,4,Yes,No,0
359178,58,147834,547,7382,48,Self-Employed,Single,2,Yes,Yes,1
744167,57,54084,455,27463,36,Salaried,Divorced,4,Yes,Yes,1
210268,31,140387,346,38402,12,Salaried,Divorced,4,Yes,No,0
832180,56,130641,753,31345,24,Self-Employed,Married,0,Yes,No,0
154886,33,125111,500,49764,60,Self-Employed,Divorced,1,No,Yes,1
237337,63,75826,423,31946,12,Unemployed,Single,4,Yes,No,1
621430,23,56451,300,19162,12,Salaried,Single,4,Yes,No,1
187498,53,27227,490,13397,24,Unemployed,Divorced,0,No,Yes,1
999159,26,51910,815,27335,60,Self-Employed,Divorced,1,Yes,Yes,1
275203,30,56041,741,19394,48,Self-Employed,Single,3,Yes,No,0
291335,25,108920,442,32197,60,Unemployed,Married,3,Yes,No,1
378167,43,85681,490,27010,36,Self-Employed,Single,1,Yes,No,0
141090,30,123314,832,29123,12,Salaried,Single,2,No,Yes,0
429365,64,101571,526,27387,36,Unemployed,Divorced,0,Yes,No,1
164820,22,85481,612,7890,48,Salaried,Divorced,1,No,Yes,0
887201,33,88576,601,32769,36,Salaried,Single,3,Yes,Yes,0
421879,60,127958,759,48626,60,Salaried,Married,4,Yes,No,0
818315,22,149265,700,13026,36,Unemployed,Single,3,No,Yes,1
427069,40,147556,692,8306,48,Self-Employed,Single,4,Yes,No,0
876997,21,84174,506,38665,48,Salaried,Married,0,No,No,1
299041,57,46160,509,14277,48,Salaried,Single,4,No,Yes,1
891743,29,135170,414,47239,60,Salaried,Single,1,No,No,0
203355,37,137867,550,19683,48,Self-Employed,Divorced,4,Yes,Yes,1
335796,29,37633,518,5670,12,Self-Employed,Married,2,Yes,Yes,1
314176,31,114880,706,28675,48,Unemployed,Divorced,1,Yes,No,0
284779,35,37014,742,22889,36,Self-Employed,Divorced,0,Yes,No,0
447449,44,100532,653,49535,36,Unemployed,Married,1,No,No,0
521909,58,69104,849,18006,36,Unemployed,Married,2,Yes,No,0
358795,55,61621,441,31531,60,Unemployed,Single,0,Yes,Yes,1
